Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Fiford, Cassidy M; Manning, Emily N; Bartlett, Jonathan W; Cash, David M; Malone, Ian B; Ridgway, Gerard R; Lehmann, Manja; Leung, Kelvin K; Sudre, Carole H; Ourselin, Sebastien; ",White matter hyperintensities are associated with disproportionate progressive hippocampal atrophy,Hippocampus,27,3,249-262,2017,Wiley Online Library
"Baker, Christian; Liang, Weidong; Shi, Mengjie; Zhao, Tianrui; Joubert, Francois; Ourselin, Sebastien; Vercauteren, Tom; Colchester, Richard; West, Simeon; Desjardins, Adrien; ",Real-time 3D-photoacoustic tracking system for localisation of an intraoperative needle tip (Conference Presentation),Advanced Biomedical and Clinical Diagnostic and Surgical Guidance Systems XXI,,,PC1236805,2023,SPIE
"Gruijthuijsen, Caspar; Javaux, Allan; Borghesan, Gianni; Vercauteren, Tom; Stoyanov, Danail; Ourselin, S; Perret, Jerome; Reynaerts, Dominiek; Vander Poorten, Emmanuel; ",Haptic Guidance in Comanipulated Laser Surgery for Fetal Disorders,Proceedings ACTUATOR 2016,2016,,,2016,Messe Bremen
"Bocchetta, M; Toussaint, N; Hutel, M; Modat, M; Cardoso, MJ; Gordon, E; Dick, KM; Cash, DM; van Swieten, J; Borroni, B; ",Multimodal imaging analysis of C9orf72-associated FTD in the Genetic Frontotemporal dementia Initiative (GENFI) study,,,,,2016,10th International Conference on Frontotemporal Dementias
"Cardoso, M Jorge; Modat, Marc; Wolz, Robin; Melbourne, Andrew; Cash, David; Rueckert, Daniel; Ourselin, Sebastien; ",Geodesic information flows: spatially-variant graphs and their application to segmentation and fusion,IEEE transactions on medical imaging,34,9,1976-1988,2015,IEEE
"Fonteijn, Hubert M; Modat, Marc; Clarkson, Matthew J; Barnes, Josephine; Lehmann, Manja; Hobbs, Nicola Z; Scahill, Rachael I; Tabrizi, Sarah J; Ourselin, Sebastien; Fox, Nick C; ",An event-based model for disease progression and its application in familial Alzheimer's disease and Huntington's disease,NeuroImage,60,3,1880-1889,2012,Elsevier
"Lucena, Oeslle; Vos, Sjoerd B; Vakharia, Vejay; Duncan, John; Ourselin, Sebastien; Sparks, Rachel; ",Convolutional neural networks for fiber orientation distribution enhancement to improve single-shell diffusion MRI tractography,"Computational Diffusion MRI: MICCAI Workshop, Shenzhen, China, October 2019",,,101-112,2020,Springer
"Coath, William; Modat, Marc; Cardoso, Jorge; Markiewicz, Pawel J; Lane, Christopher A; Parker, Thomas D; Keuss, Sarah E; Buchanan, Sarah M; Burgos, Ninon; Dickson, John; ",P4‐319: CENTILOID SCALE TRANSFORMATION OF FLORBETAPIR DATA ACQUIRED ON A PET/MR SCANNER,Alzheimer's & Dementia,15,,P1415-P1416,2019,Wiley Online Library
"Tur, Carmen; Grussu, Francesco; Prados, Ferran; Charalambous, Thalis; Collorone, Sara; Kanber, Baris; Cawley, Niamh; Altmann, Daniel R; Ourselin, Sébastien; Barkhof, Frederik; ",A multi-shell multi-tissue diffusion study of brain connectivity in early multiple sclerosis,Multiple Sclerosis Journal,26,7,774-785,2020,"Sage Publications Sage UK: London, England"
"Jiao, Jieqing; Ourselin, Sebastien; ",Fast PET reconstruction using multi-scale fully convolutional neural networks,arXiv preprint arXiv:1704.07244,,,,2017,
"Laura, Cristina Oyarzun; Cardoso, M Jorge; Rosen-Zvi, Michal; Kaissis, Georgios; Linguraru, Marius George; Shekhar, Raj; Wesarg, Stefan; Erdt, Marius; Drechsler, Klaus; Chen, Yufei; ","Clinical Image-Based Procedures, Distributed and Collaborative Learning, Artificial Intelligence for Combating COVID-19 and Secure and Privacy-Preserving Machine Learning: 10th Workshop, CLIP 2021, Second Workshop, DCL 2021, First Workshop, LL-COVID19 2021, and First Workshop and Tutorial, PPML 2021, Held in Conjunction with MICCAI 2021, Strasbourg, France, September 27 and October 1, 2021, Proceedings",,12969,,,2021,Springer Nature
"Cardoso, M Jorge; Simpson, Ivor; Modat, Marc; Ourselin, Sebastien; ",Stratified voxel-based morphometry (sVBM),Mathematical Foundations of Computational Anatomy,,,49,2013,
"Cardoso, M Jorge; Li, Wenqi; Brown, Richard; Ma, Nic; Kerfoot, Eric; Wang, Yiheng; Murrey, Benjamin; Myronenko, Andriy; Zhao, Can; Yang, Dong; ",MONAI: An open-source framework for deep learning in healthcare,arXiv preprint arXiv:2211.02701,,,,2022,
"Thomas, BA; Erlandsson, K; Thurfjell, L; Vandenberghe, R; Ourselin, S; Hutton, BF; ",White matter variability for two amyloid brain PET tracers: implications for partial volume correction,European Journal Of Nuclear Medicine And Molecular Imaging,38,,S108-S108,2011,Springer Verlag
"Fuin, Niccoló; Bousse, Alexandre; Pedemonte, Stefano; Arridge, Simon; Ourselin, Sebastien; Hutton, Brian; ","Collimator design in SPECT, an optimisation tool",IEEE Nuclear Science Symposuim & Medical Imaging Conference,,,3149-3154,2010,IEEE
"Scelsi, Marzia Antonella; Lorenzi, Marco; Schott, Jon M; Ourselin, Sebastien; Altmann, Andre; ADNI investigators; ",[IC‐P‐062]: GENOME‐WIDE ASSOCIATION STUDY OF A MULTIMODAL IMAGING BIOMARKER IN THE ADNI COHORT,Alzheimer's & Dementia,13,7S_Part_1,P50-P51,2017,Wiley Online Library
"Prados, Ferran; Cardoso, Manuel Jorge; Yiannakas, Marios C; Kanber, Baris; Kearney, Hugh; Wheeler-Kignshott, Claudia AM Gandini; Ourselin, Sebastien; ",A patch-based method for lesion in-painting in the spinal cord,,,,,,
"Parker, Thomas D; Slattery, Catherine F; Nicholas, Jennifer M; Paterson, Ross W; Foulkes, Alexander JM; Malone, Ian B; Thomas, David L; Modat, Marc; Cash, David M; Crutch, Sebastian J; ",P2‐390: DIFFERENTIAL HIPPOCAMPAL SUBFIELD LOSS IN DIFFERENT PHENOTYPES OF YOUNG ONSET ALZHEIMER'S DISEASE,Alzheimer's & Dementia,14,7S_Part_15,P850-P851,2018,Wiley Online Library
"Holmes, Holly E; Colgan, Niall; Ismail, Ozama; Ma, Da; Powell, Nick M; O'Callaghan, James M; Harrison, Ian F; Johnson, Ross A; Murray, Tracey K; Ahmed, Zeshan; ",Imaging the accumulation and suppression of tau pathology using multiparametric MRI,Neurobiology of aging,39,,184-194,2016,Elsevier
"Ranzini, Marta BM; Groothuis, Irme; Kläser, Kerstin; Cardoso, M Jorge; Henckel, Johann; Ourselin, Sébastien; Hart, Alister; Modat, Marc; ",Combining multimodal information for metal artefact reduction: An unsupervised deep learning framework,2020 IEEE 17th International Symposium on Biomedical Imaging (ISBI),,,600-604,2020,IEEE
"Bowyer, Ruth CE; Varsavsky, Thomas; Thompson, Ellen J; Sudre, Carole H; Murray, Benjamin AK; Freidin, Maxim B; Yarand, Darioush; Ganesh, Sajaysurya; Capdevila, Joan; Bakker, Elco; ",Geo-social gradients in predicted COVID-19 prevalence in Great Britain: results from 1 960 242 users of the COVID-19 Symptoms Study app,Thorax,76,7,723-725,2021,BMJ Publishing Group Ltd
"Bardinet, Eric; Ourselin, Sébastien; Malandain, Grégoire; Tandé, Dominique; Parain, Karine; Ayache, Nicholas; Yelnik, Jérôme; ",Three dimensional functional cartography of the human basal ganglia by registration of optical and histological serial sections,Proceedings IEEE International Symposium on Biomedical Imaging,,,329-332,2002,IEEE
"Mazidi, Mohsen; Leeming, Emily R; Merino, Jordi; Nguyen, Long H; Selvachandran, Somesh; Pujal, Joan Capdavila; Maher, Tyler; Kadé, Kirstin; Murray, Benjamin; Graham, Mark S; ",Diet and lifestyle behaviour disruption related to the pandemic was varied and bidirectional among US and UK adults participating in the ZOE COVID Study,Nature Food,2,12,957-969,2021,Nature Publishing Group UK London
"Zhao, Tianrui; Ourselin, Sebastien; Vercauteren, Tom; Xia, Wenfeng; ",High-speed photoacoustic-guided wavefront shaping for focusing light in scattering media,Optics Letters,46,5,1165-1168,2021,Optica Publishing Group
"Zhuang, Xiahai; Rhode, Kawal; Arridge, Simon; Razavi, Reza; Hill, Derek; Hawkes, David; Ourselin, Sebastien; ",An atlas-based segmentation propagation framework using locally affine registration–application to automatic whole heart segmentation,"Medical Image Computing and Computer-Assisted Intervention–MICCAI 2008: 11th International Conference, New York, NY, USA, September 6-10, 2008, Proceedings, Part II 11",,,425-433,2008,Springer
"Battiston, Marco; Schneider, Torben; Prados, Ferran; Grussu, Francesco; Yiannakas, M; Ourselin, Sebastien; Wheeler-Kingshott, C; Samson, R; ",Reproducible fast T1 mapping of the human cervical spinal cord in vivo,,,,,2017,International Society for Magnetic Resonance in Medicine (ISMRM)
"Diaz-Pinto, Andres; Alle, Sachidanand; Ihsani, Alvin; Asad, Muhammad; Nath, Vishwesh; Pérez-García, Fernando; Mehta, Pritesh; Li, Wenqi; Roth, Holger R; Vercauteren, Tom; ",Monai label: A framework for ai-assisted interactive labeling of 3d medical images,arXiv preprint arXiv:2203.12362,,,,2022,
"Khosropanah, Pegah; Della Costanza, Martina; Kuo, Li; Mancini, Matteo; Vos, Sjoerd; Winston, Joel; Sparks, Rachel; Ourselin, Sebastien; Duncan, John S; Vakharia, Vejay; ",012 Structural connectivity informed stereoelectroencephalography (SEEG) electrode targeting in suspected pseudotemporal and temporal plus epilepsy,"Journal of Neurology, Neurosurgery and Psychiatry",93,6,A104-A104,2022,BMJ Publishing Group Ltd
"Sudre, Carole H; Li, Wenqi; Vercauteren, Tom; Ourselin, Sebastien; Jorge Cardoso, M; ",Generalised dice overlap as a deep learning loss function for highly unbalanced segmentations,"Deep Learning in Medical Image Analysis and Multimodal Learning for Clinical Decision Support: Third International Workshop, DLMIA 2017, and 7th International Workshop, ML-CDS 2017, Held in Conjunction with MICCAI 2017, Québec City, QC, Canada, September 14, Proceedings 3",,,240-248,2017,Springer
"Zhuang, Xiahai; Shi, Wenzhe; Wang, Haiyan; Rueckert, Daniel; Ourselin, Sebastien; ",Computation on shape manifold for atlas generation: application to whole heart segmentation of cardiac MRI,Medical Imaging 2013: Image Processing,8669,,1106-1112,2013,SPIE
"Manber, Richard; Atkinson, David; Hutton, B; Barnes, A; Ourselin, S; Arridge, S; O’Meara, C; Thielemans, Kris; ",Validation of a PET-derived Respiratory Signal by Comparison with an MRI Pencil-Beam Navigator Signal in Simultaneous PET/MR,ISMRM,44,,1396,2014,
"Sudre, Carole H; Murray, Benjamin; Varsavsky, Thomas; Graham, Mark S; Penfold, Rose S; Bowyer, Ruth C; Pujol, Joan Capdevila; Klaser, Kerstin; Antonelli, Michela; Canas, Liane S; ",Attributes and predictors of Long-COVID: analysis of COVID cases and their symptoms collected by the Covid Symptoms Study App,Medrxiv,,,,2020,Cold Spring Harbor Laboratory Press
"Battiston, Marco; Grussu, Francesco; Ianus, Andrada; Schneider, Torben; Prados, Ferran; Fairney, James; Ourselin, Sebastien; Alexander, Daniel C; Cercignani, Mara; Gandini Wheeler‐Kingshott, Claudia AM; ",An optimized framework for quantitative magnetization transfer imaging of the cervical spinal cord in vivo,Magnetic resonance in medicine,79,5,2576-2588,2018,Wiley Online Library
"Mahoney, Colin; Malone, Ian; Ridgway, Ged; Buckley, Aisling; Rossor, Martin; Ourselin, Sebastien; Fox, Nick; Warren, Jason; ",Deconstructing language disintegration: Primary progressive aphasias have specific tractographic signatures,Alzheimer's and Dementia,7,4,7,2011,
"Acosta, Oscar; Frimmel, Hans; Fenster, Aaron; Ourselin, Sébastien; ",Filtering and restoration of structures in 3d ultrasound images,2007 4th IEEE International Symposium on Biomedical Imaging: From Nano to Macro,,,888-891,2007,IEEE
"Barnes, Josephine; Ridgway, Gerard R; Bartlett, Jonathan; Henley, Susie MD; Lehmann, Manja; Hobbs, Nicola; Clarkson, Matthew J; MacManus, David G; Ourselin, Sebastien; Fox, Nick C; ","Head size, age and gender adjustment in MRI studies: a necessary nuisance?",Neuroimage,53,4,1244-1255,2010,Elsevier
"Cardoso, M Jorge; Melbourne, Andrew; Kendall, Giles S; Modat, Marc; Hagmann, Cornelia F; Robertson, Nicola J; Marlow, Neil; Ourselin, Sebastien; ",Adaptive neonate brain segmentation,"Medical Image Computing and Computer-Assisted Intervention–MICCAI 2011: 14th International Conference, Toronto, Canada, September 18-22, 2011, Proceedings, Part III 14",,,378-386,2011,Springer
"Schirmer, Markus D; Venkataraman, Archana; Rekik, Islem; Kim, Minjeong; Mostofsky, Stewart H; Nebel, Mary Beth; Rosch, Keri; Seymour, Karen; Crocetti, Deana; Irzan, Hassna; ",Neuropsychiatric disease classification using functional connectomics-results of the connectomics in neuroimaging transfer learning challenge,Medical image analysis,70,,101972,2021,Elsevier
"Ten Kate, Mara; Sudre, Carole H; den Braber, Anouk; Konijnenberg, Elles; Nivard, Michel G; Cardoso, M Jorge; Scheltens, Philip; Ourselin, Sébastien; Boomsma, Dorret I; Barkhof, Frederik; ",White matter hyperintensities and vascular risk factors in monozygotic twins,Neurobiology of aging,66,,40-48,2018,Elsevier
"Burgos, Ninon; Samper-González, Jorge; Bertrand, Anne; Habert, Marie-Odile; Ourselin, Sébastien; Durrleman, Stanley; Cardoso, Jorge; Colliot, Olivier; ",Diagnosis of Alzheimer’s Disease Through Identification of Abnormality Patterns in FDG PET Data,30th Annual Congress of the European Association of Nuclear Medicine (EANM),44,S2,253-254,2017,
"Sudre, CH; Murray, B; Varsavsky, T; Graham, MS; Penfold, RS; Bowyer, RC; Pujol, JC; Klaser, K; Antonelli, M; Canas, LS; ",Attributes and predictors of long-COVID: analysis of COVID cases and their symptoms collected by the Covid Symptoms Study App. medRxiv,medRxiv,,,,2020,
"Wood, David A; Kafiabadi, Sina; Al Busaidi, Ayisha; Guilhem, Emily; Montvila, Antanas; Lynch, Jeremy; Townend, Matthew; Agarwal, Siddharth; Mazumder, Asif; Barker, Gareth J; ",Deep learning models for triaging hospital head MRI examinations,Medical Image Analysis,78,,102391,2022,Elsevier
"Pérez-García, Fernando; Alim-Marvasti, Ali; Romagnoli, Gloria; Clarkson, Matthew J; Sparks, Rachel; Duncan, John S; Ourselin, Sébastien; ",Software tool for visualization of a probabilistic map of the epileptogenic zone from seizure semiologies,Frontiers in Neuroinformatics,16,,,2022,Frontiers Media SA
"Melbourne, Andrew; Kendall, Giles; Bainbridge, Alan; Cardoso, Manuel Jorge; Robertson, Nicola; Marlow, Neil; Ourselin, Sebastien; ",A Quantitative Analysis of the Very Preterm Brain at 30 and 40 Weeks Gestational Age; Correlation of Multi-Component T2 Relaxation and Diffusion Tensor Anisotropy.,,,,,,
"Mehta, Pritesh; Antonelli, Michela; Ahmed, Hashim U; Emberton, Mark; Punwani, Shonit; Ourselin, Sébastien; ",Computer-aided diagnosis of prostate cancer using multiparametric MRI and clinical features: A patient-level classification framework,Medical image analysis,73,,102153,2021,Elsevier
"Cheetham, Nathan J; Penfold, Rose; Giunchiglia, Valentina; Bowyer, Vicky; Sudre, Carole H; Canas, Liane S; Deng, Jie; Murray, Benjamin; Kerfoot, Eric; Antonelli, Michela; ",The effects of COVID-19 on cognitive performance in a community-based cohort: A COVID Symptom Study Biobank observational study,medRxiv,,,2023.03. 14.23287211,2023,Cold Spring Harbor Laboratory Press
"Barnes, Josephine; Lehmann, Manja; Leung, Kelvin K; Bartlett, Jonathan W; Ourselin, Sebastien; Warrington, Elizabeth K; Fox, Nick C; Crutch, Sebastian J; ",Posterior Cortical Atrophy Patients with Relatively Preserved Memory have Abnormal Hippocampal Volumes,Alzheimer's and Dementia,6,4,3,2010,
"Brownlee, Wallace; Da Mota, Patricia Alves; Padros, Ferran; Swanton, Josephine; Miszkiel, Katherine; Altmann, Daniel; Ourselin, Sebastien; Wheeler-Kingshott, Claudia; Ciccarelli, Olga; Miller, David; ",Early Spinal Cord MRI Abnormalities are Associated with MS-related Disability Five Years after a Clinically Isolated Syndrome (P6. 165),,,,,2015,AAN Enterprises
"Charalambous, Thalis; Tur, Carmen; Prados, Ferran; van de Pavert, Steven HP; Chard, Declan T; Miller, David H; Ourselin, Sebastien; Clayden, Jonathan D; Wheeler-Kingshott, Claudia AM Gandini; Thompson, Alan J; ",Graph theoretical measures predict volumetric changes in multiple sclerosis,,,,,,
"Reinke, Annika; Tizabi, Minu D; Sudre, Carole H; Eisenmann, Matthias; Rädsch, Tim; Baumgartner, Michael; Acion, Laura; Antonelli, Michela; Arbel, Tal; Bakas, Spyridon; ",Common limitations of image processing metrics: A picture story,arXiv preprint arXiv:2104.05642,,,,2021,
"Goodkin, O; Prados, F; Vos, S; Pemberton, H; Collorone, S; Hagens, M; Cardoso, MJ; Yousry, T; Thornton, J; Sudre, C; ",Flair-only joint volumetric analysis of brain lesions and atrophy in clinically isolated syndrome (CIS) suggestive of ms,MULTIPLE SCLEROSIS JOURNAL,26,3_ SUPPL,394-395,2020,"SAGE PUBLICATIONS LTD 1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND"
"Du, Xiaofei; Allan, Maximilian; Dore, Alessio; Ourselin, Sebastien; Hawkes, David; Kelly, John D; Stoyanov, Danail; ",Combined 2D and 3D tracking of surgical instruments for minimally invasive and robotic-assisted surgery,International journal of computer assisted radiology and surgery,11,,1109-1119,2016,Springer
"Ebner, Michael; Nabavi, Eli; Shapey, Jonathan; Xie, Yijing; Liebmann, Florentin; Spirig, José Miguel; Hoch, Armando; Farshad, Mazda; Saeed, Shakeel R; Bradford, Robert; ",Intraoperative hyperspectral label-free imaging: from system design to first-in-patient translation,Journal of Physics D: Applied Physics,54,29,294003,2021,IOP Publishing
"Desjardins, A; Mosse, C; Colchester, R; Noimark, S; Alles, E; Zhang, E; Ourselin, S; Parkin, I; Papakonstantinou, I; Beard, P; ",All-optical pulse-echo ultrasound imaging for guiding minimally invasive procedures,CLEO: Applications and Technology,,,AW1A. 1,2017,Optica Publishing Group
"Cash, D; Bartlett, J; Finnegan, S; Leung, KK; Ridgway, GR; Cardoso, MJ; Schott, JM; Ourselin, S; Fox, NC; ",Stability of symmetric atrophy measurement algorithms: impacts on interim and final analyses,,,,,,
"Lorenzi, Marco; Ziegler, Gabriel; Alexander, Daniel C; Ourselin, Sebastien; ",Efficient Gaussian process-based modelling and prediction of image time series,"Information Processing in Medical Imaging: 24th International Conference, IPMI 2015, Sabhal Mor Ostaig, Isle of Skye, UK, June 28-July 3, 2015, Proceedings 24",,,626-637,2015,Springer
"Arbel, Tal; Cardoso, M Jorge; Wells III, William; Chung, Albert CS; Precup, Doina; ",Editorial on Special Issue on Probabilistic Models for Biomedical Image Analysis,Computer Vision and Image Understanding,151,,1-2,2016,Elsevier
"Winston, Gavin P; Daga, Pankaj; White, Mark J; Micallef, Caroline; Miserocchi, Anna; Mancini, Laura; Modat, Marc; Stretton, Jason; Sidhu, Meneka K; Symms, Mark R; ",Preventing visual field deficits from neurosurgery using intraoperative MRI,Proc. Intl. Soc. Mag. Reson. Med,22,,0058,2014,
"Prados Carrasco, F; Yiannakas, Marios C; Cardoso, Manuel Jorge; Grussu, Francesco; De Angelis, Floriana; Plantone, Domenico; Miller, David H; Ciccarelli, Olga; Wheeler-Kingshott, CAM; Ourselin, S; ",Computing spinal cord atrophy using the Boundary Shift Integral: a more powerful outcome measure for clinical trials?,,,,,2016,European Committee for Treatment and Research in Multiple Sclerosis (ECTRIMS)
"Sari, Hasan; Erlandsson, Kjell; Law, Ian; Larsson, Henrik BW; Ourselin, Sebastien; Arridge, Simon; Atkinson, David; Hutton, Brian F; ",Estimation of an image derived input function with MR-defined carotid arteries in FDG-PET human studies using a novel partial volume correction method,Journal of Cerebral Blood Flow & Metabolism,37,4,1398-1409,2017,"SAGE Publications Sage UK: London, England"
"van der Merwe, Johannes; van der Veeken, Lennart; Ferraris, Sebastiano; Gsell, Willy; Himmelreich, Uwe; Toelen, Jaan; Ourselin, Sebastien; Melbourne, Andrew; Vercauteren, Tom; Deprest, Jan; ",Publisher Correction: Early neuropathological and neurobehavioral consequences of preterm birth in a rabbit model,Scientific Reports,9,,,2019,Nature Publishing Group
"Brusaferri, Ludovica; Emond, Elise C; Atkinson, David; Ourselin, Sébastien; Hutton, Brian F; Arridge, Simon; Thielemans, Kris; ",Joint reconstruction of activity and attenuation in non-TOF PET using a synergistic prior to enforce structural similarities,2019 IEEE Nuclear Science Symposium and Medical Imaging Conference (NSS/MIC),,,1-3,2019,IEEE
"Eiben, Björn; Han, Lianghao; Hipwell, J; Mertzanidou, Thomy; Kabus, Sven; Bülow, Thomas; Lorenz, Cristian; Newstead, GM; Abe, Hiroyuki; Keshtgar, Mohammed; ",Biomechanically guided prone-to-supine image registration of breast MRI using an estimated reference state,2013 IEEE 10th international symposium on biomedical imaging,,,214-217,2013,IEEE
"Cortese, Rosa; Magnollay, Lise; De Angelis, Floriana; Eshaghi, Arman; Grussu, Francesco; Prados, Ferran; Ourselin, Sebastien; Yiannakas, Marios; Simone, Isabella Laura; Miller, David; ",No Differences in Spinal Cord White and Grey Matter Diffusion Abnormalities between Neuromyelitis Optica Spectrum Disorder and Multiple Sclerosis (P4. 151),,,,,2016,AAN Enterprises
"Prados Carrasco, F; Ozgur, Y; Yiannakas, M; Grussu, F; Ruberte, E; Wuerfel, J; Barkhof, F; Wheeler-Kingshott, C; Ourselin, S; ",Boundary shift integral to compute brain and cervical spinal cord longitudinal volume changes using the same 3DT1w volumetric scans in multiple sclerosis,,,,,2017,ISMRM 25TH ANNUAL MEETING & EXHIBITION
"Shakespeare, Tim; Simpson, Ivor; Malone, Ian; Ryan, Natalie; Crutch, Sebastian; Ourselin, Sebastien; Fox, Nick; ",P2‐199: DIFFERENT PATTERNS OF STRUCTURAL CONNECTIVITY IN EARLY‐ONSET SPORADIC AD: A LONGITUDINAL DTI STUDY OF WHITE MATTER STRUCTURE IN PCA AND TYPICAL AD,Alzheimer's & Dementia,10,,P544-P545,2014,Wiley Online Library
"Sudre, Carole; Cardoso, M Jorge; Ourselin, Sebastien; Rohrer, Jonathan; ",Method and apparatus for transforming physical measurement data of a biological organ,,,,,2021,Google Patents
"Zuluaga, Maria A; Burgos, Ninon; Mendelson, Alex F; Taylor, Andrew M; Ourselin, Sébastien; ",Voxelwise atlas rating for computer assisted diagnosis: Application to congenital heart diseases of the great arteries,Medical image analysis,26,1,185-194,2015,Elsevier
"Bourgeat, Pierrick; Fripp, Jurgen; Stanwell, Peter; Ramadan, Saadallah; Ourselin, Sébastien; ",MR image segmentation using phase information and a novel multiscale scheme,"Medical Image Computing and Computer-Assisted Intervention–MICCAI 2006: 9th International Conference, Copenhagen, Denmark, October 1-6, 2006. Proceedings, Part II 9",,,920-927,2006,Springer
"Scannell, Cian M; Alskaf, Ebraham; Sharrack, Noor; Razavi, Reza; Ourselin, Sebastien; Young, Alistair A; Plein, Sven; Chiribiri, Amedeo; ",AI-AIF: artificial intelligence-based arterial input function for quantitative stress perfusion cardiac magnetic resonance,European Heart Journal-Digital Health,4,1,12-21,2023,Oxford University Press US
"Garvey, Clarissa C; Cahill, Nathan D; Melbourne, Andrew; Tanner, Christine; Ourselin, Sebastien; Hawkes, David J; ",Nonrigid image registration with two-sided space-fractional partial differential equations,2013 IEEE International Conference on Image Processing,,,747-751,2013,IEEE
"Ourselin, Sebastien Ourselin; Dayan, Michael Dayan; Dayan, Michael; Clayden, Jonathan D Clayden; Clark, Chris A Clark; Daga, Pankaj Daga; Parker, Christopher S Parker; Parker, Christopher S; Cardoso, M Jorge Cardoso; Modat, Marc Modat; ",Consensus between Pipelines in Structural Brain Networks,,,,,2014,
"Brizmohun, M; Johnston, E; Latifoltojar, Arash; O'Callaghan, James; Bonet-Carne, E; Ferizi, U; Yvernault, B; Pye, H; Patel, D; Clemente, J; ","The intracellular component of VERDICT (Vascular, Extracellular, and Restricted Diffusion for Cytometry in Tumors) MRI distinguishes Gleason 4 pattern better than apparent diffusion coefficient",,,,,2018,Joint Annual Meeting ISMRM-ESMRMB 2018
"Bragman, Felix JS; McClelland, Jamie R; Modat, Marc; Ourselin, Sébastien; Hurst, John R; Hawkes, David J; ",Multi-scale analysis of imaging features and its use in the study of COPD exacerbation susceptible phenotypes,"Medical Image Computing and Computer-Assisted Intervention–MICCAI 2014: 17th International Conference, Boston, MA, USA, September 14-18, 2014, Proceedings, Part III 17",,,417-424,2014,Springer
"Prados Carrasco, F; Solanky, Bhavana S; Alves Da Mota, P; Cardoso, Manuel Jorge; Brownlee, Wallace J; Riemer, F; Miller, David H; Golay, Xavier; Wheeler-Kingshott, CAM; Ourselin, S; ",Automatic sodium maps reconstruction using PatchMatch algorithm for phantom detection,,,,,2016,ISMRM 2016
"Xia, Wenfeng; Nikitichev, Daniil I; Mari, Jean Martial; West, Simeon J; Ourselin, Sebastien; Beard, Paul C; Desjardins, Adrien E; ",An interventional multispectral photoacoustic imaging platform for the guidance of minimally invasive procedures,European Conference on Biomedical Optics,,,95390D,2015,Optica Publishing Group
"Sudre, Carole H; Cardoso, M Jorge; Frost, Chris; Barnes, Josephine; Barkhof, Frederik; Fox, Nick; Ourselin, Sébastien; Alzheimer's Disease Neuroimaging Initiative; ",APOE ε4 status is associated with white matter hyperintensities volume accumulation rate independent of AD diagnosis,Neurobiology of aging,53,,67-75,2017,Elsevier
"Brown, J William L; Pardini, Matteo; Brownlee, Wallace J; Fernando, Kryshani; Samson, Rebecca S; Prados Carrasco, Ferran; Ourselin, Sebastien; Gandini Wheeler-Kingshott, Claudia AM; Miller, David H; Chard, Declan T; ",An abnormal periventricular magnetization transfer ratio gradient occurs early in multiple sclerosis,Brain,140,2,387-398,2017,Oxford University Press
"Fripp, Jurgen; Ourselin, Sebastien; Warfield, Simon K; Crozier, Stuart; ",Automatic segmentation of the bones from MR images of the knee,2007 4th IEEE International Symposium on Biomedical Imaging: From Nano to Macro,,,336-339,2007,IEEE
"Orasanu, Eliza; Bazin, Pierre-Louis; Melbourne, Andrew; Lorenzi, Marco; Lombaert, Herve; Robertson, Nicola J; Kendall, Giles; Weiskopf, Nikolaus; Marlow, Neil; Ourselin, Sebastien; ",Longitudinal analysis of the preterm cortex using multi-modal spectral matching,"Medical Image Computing and Computer-Assisted Intervention–MICCAI 2016: 19th International Conference, Athens, Greece, October 17-21, 2016, Proceedings, Part I 19",,,255-263,2016,Springer
"Saxena, Ashutosh; Gupta, Gaurav; Gerasimov, Vadim; Ourselin, Sébastien; ",In use parameter estimation of inertial sensors by detecting multilevel quasi-static states,"Knowledge-Based Intelligent Information and Engineering Systems: 9th International Conference, KES 2005, Melbourne, Australia, September 14-16, 2005, Proceedings, Part IV 9",,,595-601,2005,Springer
"Lazaridis, Georgios; Mohamed-Noriega, Jibran; Lorenzi, Marco; Ourselin, Sebastien; Garway-Heath, David F; ",Imaging outcomes in the UK Glaucoma Treatment Study (UKGTS): improving the statistical power of the UKGTS by OCT image enhancement via Bayesian fusion of ensemble generative adversarial networks,Investigative Ophthalmology & Visual Science,61,7,874-874,2020,The Association for Research in Vision and Ophthalmology
"Ebner, Michael; Parker, Kim; Vercauteren, Tom; Ourselin, Sébastien; Wassertheurer, Siegfried; Hughes, Alun; Hametner, Bernhard; ","3.4 RESERVOIR PRESSURE SEPARATION AT BRACHIAL, CAROTID AND RADIAL ARTERIES: A QUANTITATIVE COMPARISON AND EVALUATION",Artery Research,20,C,54-54,2017,Atlantis Press
"Winston, Gavin P; Daga, Pankaj; Stretton, Jason; Modat, Marc; Symms, Mark R; McEvoy, Andrew W; Ourselin, Sebastien; Duncan, John S; ",Optic radiation tractography and vision in anterior temporal lobe resection,Annals of neurology,71,3,334-341,2012,Wiley Online Library
"Kinnunen, Kirsi; Ryan, Natalie; Cash, David; Leite, António Bastos; Finnegan, Sarah; Cardoso, Manuel; Leung, Kelvin; Modat, Marc; Benzinger, Tammie; Jack, Clifford; ",P1–269: Are early atrophy patterns in autosomal dominant familial Alzheimer's disease gene‐dependent?,Alzheimer's & Dementia,9,,P251-P252,2013,Wiley Online Library
